"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 2.2A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,2574,4201,35.78,-,-,-,35.78,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 2.3A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,1379,2271,,-,-,-,15.28,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 3.1A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,131,177,,-,-,-,1.45,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 3.2A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,823,1534,9.36,-,-,-,9.36,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 3.3A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,550,834,4.9,-,-,-,4.9,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 4.1A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,445,610,,-,-,-,4.66,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Evelyn - 4.2A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,8671,12061,90.83,-,-,-,90.83,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,26,27,,-,-,-,1.37,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,265,277,,-,-,-,9.11,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,56,59,,-,-,-,1.83,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,35,38,,-,-,-,0.96,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,23,26,,-,-,-,1.03,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,84,92,,-,-,-,3.09,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,103,106,,-,-,-,2.49,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,2,2,,-,-,-,0.16,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.3A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,16,16,,-,-,-,0.68,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Sunglasses INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,25,28,,-,-,-,1.25,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.1A - Sunglasses INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,20,20,,-,-,-,0.4,Ongoing
