"Campaign name","Ad name","Delivery status","Delivery level","Ad Set Name","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)",Frequency,"CPC (all)","Post comments","Post engagements","Post reactions","Post shares","Unique 2-second continuous video plays","2-second continuous video plays","3-second video plays",ThruPlays,"Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Reporting starts","Reporting ends"
"BD - Prospecting - Asia + AU/NZ - CBO - LC","GIF - Crystal - 1A - SPT CP",not_delivering,ad,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT",,,1065,1241,,6.94,6,1.15666667,5.5922643,0.80580177,1.16525822,0.694,,122,,,,,116,12,113,45,22,12,11,1,2024-06-02,2024-07-11
"[AU/AS] BD - ASC+ - Prospecting - Asia + AU","Video - Influencer Content - Evelyn - 2.1A - Homepage INTL",active,ad,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+","Website purchases",1,796,1208,7.94,7.94,9,0.88222222,6.57284768,1.40728477,1.51758794,0.46705882,,275,,1,,,265,40,59,30,23,18,16,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Jimbo - 5.2A - Homepage INTL",inactive,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,680,1202,,40.34,4,10.085,33.56073211,0.74875208,1.76764706,4.48222222,,259,,,,,255,50,89,35,18,11,9,4,2024-06-02,2024-07-11
"[AU/AS] BD - ASC+ - Prospecting - Asia + AU","Video - Influencer Content - Evelyn - 4.1A - Homepage INTL",active,ad,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",,,791,1183,,9.5,12,0.79166667,8.03043111,1.77514793,1.49557522,0.45238095,,347,,,,,335,52,94,37,24,21,16,4,2024-06-02,2024-07-11
"BD - Retargeting - CBO - LC","GIF - Customer Testimonial - James - Logo Update - 1A - Homepage",active,ad,"All Feeds - P(LC) - All WCAs",,,469,1018,,1.88,4,0.47,1.84675835,0.68762279,2.17057569,0.26857143,,49,,,,,45,8,53,23,10,8,6,1,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Evelyn - 3.3A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set","Website purchases",1,634,941,28.37,28.37,3,9.45666667,30.1487779,0.4250797,1.48422713,7.0925,,251,,,,,248,23,42,21,14,11,10,8,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Jimbo - 5.3A - Homepage INTL",inactive,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,569,913,,25.06,6,4.17666667,27.44797371,1.20481928,1.60456942,2.27818182,,227,1,,,,219,30,52,14,11,8,8,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",inactive,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,629,833,,28.51,8,3.56375,34.22569028,1.08043217,1.32432432,3.16777778,,202,,,,,194,26,36,20,9,7,6,3,2024-06-02,2024-07-11
"[US] BD - Prospecting - US - CBO - LC","GIF - Multiple Colorways - 1A - SPT CP",not_delivering,ad,"All Feeds - P(LC) - US - MW, 22-60 - SPT","Website purchases",1,433,605,22.73,22.73,4,5.6825,37.57024793,0.99173554,1.39722864,3.78833333,,82,,,,,78,9,57,28,16,10,9,2,2024-06-02,2024-07-11
"[AU/AS] BD - ASC+ - Prospecting - Asia + AU","Video - Influencer Content - Evelyn - 3.1A - Homepage INTL",active,ad,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",,,394,594,,7.06,5,1.412,11.88552189,1.34680135,1.50761421,0.8825,,149,,,,,144,26,39,22,17,16,13,4,2024-06-02,2024-07-11
