Ads,Age,Gender,Day,Reach,Impressions,Frequency,Currency,"Amount spent (USD)","Attribution setting","Clicks (all)","CPC (all)","CTR (all)","Gross impressions (includes invalid impressions from non-human traffic)","CPM (cost per 1,000 impressions)","Page engagement","Follows or likes","Post comments","Post engagements","Post reactions","Post shares","Cost per Page engagement","Cost per follow or like","Cost per post engagement","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Link clicks","CTR (link click-through rate)","CPC (cost per link click)","Adds to cart","Cost per add to cart","Adds to wishlist","Cost per add to wishlist","Content views","Cost per content view","Content views conversion value",Purchases,"Cost per purchase","Purchases conversion value","Reporting starts","Reporting ends"
"VSL H4B1 - Vid - LP",65+,male,2024-06-30,1,1,1,USD,0.03,"7-day click",,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H6B1 - Vid - LP",45-54,female,2024-06-30,6,7,1.16666667,USD,0.05,"7-day click",,,,7,7.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H6B1 - Vid - LP",45-54,male,2024-06-30,2,2,1,USD,0.01,"7-day click",,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H6B1 - Vid - LP",55-64,female,2024-06-30,6,8,1.33333333,USD,0.34,"7-day click",,,,8,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H6B1 - Vid - LP",55-64,male,2024-06-30,1,1,1,USD,0.01,"7-day click",,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H6B1 - Vid - LP",65+,female,2024-06-30,5,5,1,USD,0.12,"7-day click",,,,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H6B1 - Vid - LP",65+,male,2024-06-30,7,7,1,USD,0.27,"7-day click",2,0.135,28.57142857,7,38.57142857,2,,,2,,,0.135,,0.135,1,,,,,,0.27,1,14.28571429,0.27,,,,,1,0.27,94.97,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",18-24,female,2024-06-30,1,1,1,USD,0.09066403,"7-day click",,,,1,90.66403162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",18-24,male,2024-06-30,3,3,1,USD,0.33243478,"7-day click",,,,3,110.8115942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",25-34,female,2024-06-30,11,15,1.36363636,USD,0.40295125,"7-day click",,,,15,26.86341678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
