Ads,Age,Gender,Day,Reach,Impressions,Frequency,Currency,"Amount spent (USD)","Attribution setting","Clicks (all)","CPC (all)","CTR (all)","Gross impressions (includes invalid impressions from non-human traffic)","CPM (cost per 1,000 impressions)","Page engagement","Follows or likes","Post comments","Post engagements","Post reactions","Post shares","Cost per Page engagement","Cost per follow or like","Cost per post engagement","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Link clicks","CTR (link click-through rate)","CPC (cost per link click)","Adds to cart","Cost per add to cart","Adds to wishlist","Cost per add to wishlist","Content views","Cost per content view","Content views conversion value",Purchases,"Cost per purchase","Purchases conversion value","Reporting starts","Reporting ends"
"All Products Collection - CP",65+,male,2024-06-13,147,206,1.40136054,USD,5.38565323,"7-day click",4,1.34641331,1.94174757,206,26.1439477,4,,,4,2,,1.34641331,,1.34641331,,,,,,,,2,0.97087379,2.69282661,,,,,1,5.38565323,39.99,,,,2024-04-01,2024-06-30
"All Products Collection - CP",65+,unknown,2024-06-13,8,22,2.75,USD,0.38968548,"7-day click",,,,22,17.71297654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",18-24,female,2024-06-13,4,7,1.75,USD,0.72998394,"7-day click",,,,7,104.28341937,3,,,3,,,0.24332798,,0.24332798,3,1,1,1,1,1,0.24332798,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",18-24,male,2024-06-13,14,14,1,USD,0.48998922,"7-day click",,,,14,34.99922979,3,,,3,,,0.16332974,,0.16332974,3,,,,,,0.16332974,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",25-34,female,2024-06-13,34,44,1.29411765,USD,2.94993508,"7-day click",2,1.47496754,4.54545455,45,67.04397914,17,,,17,2,,0.17352559,,0.17352559,14,6,6,3,1,1,0.21070965,1,2.27272727,2.94993508,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",25-34,male,2024-06-13,28,40,1.42857143,USD,3.6399199,"7-day click",1,3.6399199,2.5,40,90.99799745,10,,,10,,,0.36399199,,0.36399199,9,2,2,1,1,1,0.40443554,1,2.5,3.6399199,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",25-34,unknown,2024-06-13,,1,,USD,0.00999978,"7-day click",,,,1,9.99977994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",35-44,female,2024-06-13,68,90,1.32352941,USD,3.12993112,"7-day click",2,1.56496556,2.22222222,91,34.77701246,26,,,26,1,,0.12038197,,0.12038197,25,3,2,2,2,2,0.12519724,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",35-44,male,2024-06-13,130,136,1.04615385,USD,5.53987809,"7-day click",3,1.84662603,2.20588235,136,40.73439769,29,,,29,,,0.19103028,,0.19103028,27,6,1,1,1,1,0.20518067,2,1.47058824,2.76993904,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",35-44,unknown,2024-06-13,4,5,1.25,USD,0.13999692,"7-day click",,,,5,27.99938383,2,,,2,,,0.06999846,,0.06999846,2,1,1,,,,0.06999846,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",45-54,female,2024-06-13,346,411,1.18786127,USD,25.23944457,"7-day click",14,1.80281747,3.40632603,418,61.40984079,111,,,111,3,,0.22738238,,0.22738238,101,26,16,6,5,5,0.24989549,6,1.45985401,4.20657409,,,,,1,25.23944457,39.99,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",45-54,male,2024-06-13,508,610,1.2007874,USD,29.02936116,"7-day click",9,3.22548457,1.47540984,612,47.58911666,138,,,138,3,,0.21035769,,0.21035769,131,26,11,7,6,6,0.22159818,3,0.49180328,9.67645372,,,,,1,29.02936116,39.99,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",45-54,unknown,2024-06-13,8,10,1.25,USD,0.77998284,"7-day click",,,,10,77.99828353,2,,,2,,,0.38999142,,0.38999142,2,,,,,,0.38999142,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",55-64,female,2024-06-13,872,1079,1.23738532,USD,75.27834338,"7-day click",39,1.93021393,3.61445783,1083,69.76676866,383,,,383,5,2,0.1965492,,0.1965492,352,84,48,28,21,21,0.21385893,24,2.22428174,3.13659764,1,75.27834338,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",55-64,male,2024-06-13,1354,1620,1.19645495,USD,86.64809317,"7-day click",43,2.01507193,2.65432099,1623,53.48647727,458,,,458,4,1,0.18918798,,0.18918798,429,71,44,24,19,19,0.20197691,24,1.48148148,3.61033722,3,28.88269772,,,4,21.66202329,149.96,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",55-64,unknown,2024-06-13,10,15,1.5,USD,2.14995269,"7-day click",,,,15,143.33017913,2,,,2,,,1.07497634,,1.07497634,2,,,,,,1.07497634,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",65+,female,2024-06-13,1276,1511,1.18416928,USD,121.56732472,"7-day click",47,2.58653882,3.11052283,1516,80.45488069,589,,,589,4,2,0.20639614,,0.20639614,555,138,88,47,38,37,0.21904022,28,1.85307743,4.34169017,,,,,2,60.78366236,144.96,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",65+,male,2024-06-13,1174,1483,1.26320273,USD,95.59789622,"7-day click",41,2.33165601,2.76466622,1486,64.46250588,507,,1,507,1,1,0.18855601,,0.18855601,473,93,54,38,26,25,0.20210972,31,2.09035738,3.0838031,2,47.79894811,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",65+,unknown,2024-06-13,24,24,1,USD,1.48996721,"7-day click",1,1.48996721,4.16666667,24,62.08196712,11,,,11,,,0.13545156,,0.13545156,11,2,2,1,1,1,0.13545156,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",18-24,male,2024-06-13,1,1,1,USD,,"7-day click",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",25-34,female,2024-06-13,3,3,1,USD,0.04,"7-day click",,,,3,13.33333333,1,,,1,,,0.04,,0.04,1,,,,,,0.04,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",25-34,male,2024-06-13,1,1,1,USD,0.06,"7-day click",,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",35-44,female,2024-06-13,3,5,1.66666667,USD,0.05,"7-day click",,,,5,10,1,,,1,,,0.05,,0.05,1,,,,,,0.05,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",35-44,male,2024-06-13,8,9,1.125,USD,0.26,"7-day click",,,,9,28.88888889,1,,,1,,,0.26,,0.26,1,,,,,,0.26,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",35-44,unknown,2024-06-13,1,2,2,USD,,"7-day click",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",45-54,female,2024-06-13,14,16,1.14285714,USD,1.18,"7-day click",1,1.18,6.25,16,73.75,2,,,2,,,0.59,,0.59,1,,,,,,1.18,1,6.25,1.18,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",45-54,male,2024-06-13,17,21,1.23529412,USD,0.94,"7-day click",1,0.94,4.76190476,21,44.76190476,3,,,3,,,0.31333333,,0.31333333,2,1,1,,,,0.47,1,4.76190476,0.94,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",55-64,female,2024-06-13,45,59,1.31111111,USD,4.21,"7-day click",1,4.21,1.69491525,59,71.3559322,9,,,9,1,,0.46777778,,0.46777778,8,2,1,,,,0.52625,,,,,,,,1,4.21,39.99,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",55-64,male,2024-06-13,37,48,1.2972973,USD,1.8,"7-day click",3,0.6,6.25,48,37.5,12,,,12,1,,0.15,,0.15,10,,,,,,0.18,1,2.08333333,1.8,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",55-64,unknown,2024-06-13,1,3,3,USD,0.01,"7-day click",,,,3,3.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",65+,female,2024-06-13,85,107,1.25882353,USD,4.91,"7-day click",6,0.81833333,5.60747664,107,45.88785047,31,,,31,1,,0.1583871,,0.1583871,27,6,4,4,4,4,0.18185185,3,2.80373832,1.63666667,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",65+,male,2024-06-13,52,70,1.34615385,USD,2.76,"7-day click",2,1.38,2.85714286,70,39.42857143,22,,,22,1,,0.12545455,,0.12545455,20,1,,,,,0.138,1,1.42857143,2.76,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",65+,unknown,2024-06-13,2,2,1,USD,0.02,"7-day click",,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",25-34,female,2024-06-13,3,3,1,USD,0.03,"7-day click",,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",35-44,female,2024-06-13,6,7,1.16666667,USD,0.15,"7-day click",,,,7,21.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",35-44,male,2024-06-13,3,7,2.33333333,USD,0.02,"7-day click",,,,7,2.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",45-54,female,2024-06-13,7,7,1,USD,0.09,"7-day click",,,,7,12.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",45-54,male,2024-06-13,8,14,1.75,USD,0.01,"7-day click",,,,15,0.71428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",55-64,female,2024-06-13,33,47,1.42424242,USD,0.62,"7-day click",,,,49,13.19148936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",55-64,male,2024-06-13,20,32,1.6,USD,0.35,"7-day click",,,,34,10.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",55-64,unknown,2024-06-13,3,4,1.33333333,USD,0.02,"7-day click",,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",65+,female,2024-06-13,60,89,1.48333333,USD,1.2,"7-day click",,,,93,13.48314607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",65+,male,2024-06-13,63,129,2.04761905,USD,1.89,"7-day click",1,1.89,0.7751938,134,14.65116279,1,,,1,,,1.89,,1.89,,,,,,,,1,0.7751938,1.89,,,,,,,,,,,2024-04-01,2024-06-30
"benefits 1 - Copy; Benefits 1;",65+,unknown,2024-06-13,2,3,1.5,USD,0.03,"7-day click",,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",18-24,female,2024-06-13,8,8,1,USD,0.19996389,"7-day click",,,,8,24.99548614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",18-24,male,2024-06-13,4,4,1,USD,0.26995125,"7-day click",,,,4,67.48781258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",25-34,female,2024-06-13,47,69,1.46808511,USD,0.92983208,"7-day click",,,,69,13.47582731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",25-34,male,2024-06-13,23,30,1.30434783,USD,0.42992236,"7-day click",,,,31,14.33074539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",25-34,unknown,2024-06-13,1,1,1,USD,0.00999819,"7-day click",,,,1,9.99819446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",35-44,female,2024-06-13,203,278,1.36945813,USD,4.28922542,"7-day click",2,2.14461271,0.71942446,279,15.42886842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",35-44,male,2024-06-13,69,98,1.42028986,USD,1.27976889,"7-day click",,,,100,13.05886623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",35-44,unknown,2024-06-13,1,3,3,USD,0.01999639,"7-day click",,,,3,6.66546297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",45-54,female,2024-06-13,409,575,1.40586797,USD,11.23797057,"7-day click",3,3.74599019,0.52173913,580,19.54429664,2,,,2,,,5.61898528,,5.61898528,,,,,,,,2,0.34782609,5.61898528,,,,,1,11.23797057,39.99,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",45-54,male,2024-06-13,125,196,1.568,USD,2.61952695,"7-day click",,,,197,13.36493341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",45-54,unknown,2024-06-13,1,3,3,USD,0.03999278,"7-day click",,,,3,13.33092594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",55-64,female,2024-06-13,603,906,1.50248756,USD,22.81587975,"7-day click",8,2.85198497,0.88300221,920,25.18309023,6,,,6,,,3.80264663,,3.80264663,,,,,,,,6,0.66225166,3.80264663,2,11.40793988,,,1,22.81587975,39.99,1,22.81587975,89.96,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",55-64,male,2024-06-13,206,306,1.48543689,USD,6.1288932,"7-day click",,,,312,20.02906275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",55-64,unknown,2024-06-13,6,8,1.33333333,USD,0.08998375,"7-day click",,,,8,11.24796876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",65+,female,2024-06-13,936,1488,1.58974359,USD,47.84136048,"7-day click",17,2.81419768,1.14247312,1514,32.15145193,13,,,13,,,3.68010465,,3.68010465,,,,,,,,13,0.87365591,3.68010465,1,47.84136048,,,5,9.5682721,199.95,1,47.84136048,119.94,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",65+,male,2024-06-13,357,648,1.81512605,USD,11.67789113,"7-day click",5,2.33557823,0.77160494,669,18.02143692,5,,,5,,,2.33557823,,2.33557823,,,,,,,,5,0.77160494,2.33557823,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 2; Lifestyle 2 - Copy;",65+,unknown,2024-06-13,15,19,1.26666667,USD,0.86984292,"7-day click",,,,19,45.7812062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",18-24,female,2024-06-12,1,1,1,USD,0.02,"7-day click",,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",25-34,female,2024-06-12,3,6,2,USD,0.06,"7-day click",,,,6,10,4,,,4,,,0.015,,0.015,4,4,4,3,2,2,0.015,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",35-44,female,2024-06-12,5,7,1.4,USD,0.13,"7-day click",,,,7,18.57142857,1,,,1,,,0.13,,0.13,1,2,1,1,1,1,0.13,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",35-44,male,2024-06-12,3,4,1.33333333,USD,0.09,"7-day click",,,,4,22.5,1,,,1,,,0.09,,0.09,1,2,1,1,1,1,0.09,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",45-54,female,2024-06-12,13,16,1.23076923,USD,0.18,"7-day click",,,,16,11.25,3,,,3,,,0.06,,0.06,3,3,3,3,2,2,0.06,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",45-54,male,2024-06-12,11,14,1.27272727,USD,1.21,"7-day click",1,1.21,7.14285714,14,86.42857143,3,,,3,,,0.40333333,,0.40333333,2,3,2,2,1,1,0.605,1,7.14285714,1.21,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",55-64,female,2024-06-12,19,24,1.26315789,USD,0.68,"7-day click",,,,24,28.33333333,5,,,5,,,0.136,,0.136,5,7,3,2,2,2,0.136,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",55-64,male,2024-06-12,24,27,1.125,USD,1.04,"7-day click",,,,27,38.51851852,5,,,5,,,0.208,,0.208,5,7,5,5,4,4,0.208,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",65+,female,2024-06-12,35,46,1.31428571,USD,2.11,"7-day click",,,,46,45.86956522,9,,,9,,,0.23444444,,0.23444444,9,18,8,7,7,7,0.23444444,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",65+,male,2024-06-12,25,40,1.6,USD,0.75,"7-day click",1,0.75,2.5,40,18.75,9,,,9,1,,0.08333333,,0.08333333,8,10,6,6,3,3,0.09375,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",65+,unknown,2024-06-12,1,1,1,USD,0.03,"7-day click",,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",18-24,female,2024-06-12,1,1,1,USD,0.02999448,"7-day click",,,,1,29.99447717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",18-24,male,2024-06-12,7,7,1,USD,0.10997975,"7-day click",,,,7,15.7113928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",25-34,female,2024-06-12,16,22,1.375,USD,0.439919,"7-day click",1,0.439919,4.54545455,22,19.99631811,1,,,1,,,0.439919,,0.439919,,,,,,,,1,4.54545455,0.439919,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",25-34,male,2024-06-12,15,18,1.2,USD,0.28994661,"7-day click",,,,18,16.10814515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",25-34,unknown,2024-06-12,1,1,1,USD,0.01999632,"7-day click",,,,1,19.99631811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",35-44,female,2024-06-12,14,14,1,USD,0.28994661,"7-day click",2,0.14497331,14.28571429,14,20.71047233,1,,,1,,,0.28994661,,0.28994661,,,,,,,,1,7.14285714,0.28994661,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",35-44,male,2024-06-12,36,46,1.27777778,USD,1.55971281,"7-day click",,,,46,33.90680028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",35-44,unknown,2024-06-12,1,1,1,USD,,"7-day click",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",45-54,female,2024-06-12,63,67,1.06349206,USD,2.8094827,"7-day click",2,1.40474135,2.98507463,67,41.93257754,1,,,1,,,2.8094827,,2.8094827,,,,,,,,1,1.49253731,2.8094827,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",45-54,male,2024-06-12,154,172,1.11688312,USD,3.74930965,"7-day click",3,1.24976988,1.74418605,173,21.7983119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",55-64,female,2024-06-12,173,189,1.09248555,USD,6.43881443,"7-day click",10,0.64388144,5.29100529,190,34.06780123,4,,,4,,,1.60970361,,1.60970361,,,,,,,,4,2.11640212,1.60970361,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",55-64,male,2024-06-12,414,470,1.1352657,USD,11.60786267,"7-day click",12,0.96732189,2.55319149,474,24.69758014,4,,,4,2,,2.90196567,,2.90196567,,,,,,,,2,0.42553191,5.80393133,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",55-64,unknown,2024-06-12,5,10,2,USD,0.09998159,"7-day click",1,0.09998159,10,10,9.99815906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",65+,female,2024-06-12,367,435,1.1852861,USD,11.10795471,"7-day click",14,0.79342534,3.2183908,438,25.53552808,8,,,8,2,,1.38849434,,1.38849434,,,,,,,,6,1.37931034,1.85132579,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",65+,male,2024-06-12,506,586,1.15810277,USD,15.66711524,"7-day click",20,0.78335576,3.41296928,594,26.73569154,16,,,16,3,,0.9791947,,0.9791947,,,,,,,,13,2.21843003,1.20516271,1,15.66711524,,,1,15.66711524,39.99,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",65+,unknown,2024-06-12,7,7,1,USD,0.08998343,"7-day click",,,,7,12.85477593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",25-34,female,2024-06-12,1,3,3,USD,0.01,"7-day click",,,,3,3.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",25-34,male,2024-06-12,2,2,1,USD,0.02,"7-day click",,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",35-44,female,2024-06-12,5,6,1.2,USD,0.05,"7-day click",,,,6,8.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",35-44,male,2024-06-12,6,7,1.16666667,USD,0.13,"7-day click",,,,7,18.57142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",45-54,female,2024-06-12,9,12,1.33333333,USD,0.1,"7-day click",,,,12,8.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",45-54,male,2024-06-12,5,5,1,USD,0.08,"7-day click",,,,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",55-64,female,2024-06-12,26,40,1.53846154,USD,1.05,"7-day click",,,,40,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",55-64,male,2024-06-12,8,9,1.125,USD,0.06,"7-day click",,,,9,6.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",65+,female,2024-06-12,38,61,1.60526316,USD,2.96,"7-day click",2,1.48,3.27868852,61,48.52459016,2,,,2,1,,1.48,,1.48,,,,,,,,1,1.63934426,2.96,,,,,1,2.96,39.99,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",65+,male,2024-06-12,14,23,1.64285714,USD,0.21,"7-day click",,,,23,9.13043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Collage Carousel - Static;...and 1 more ad",65+,unknown,2024-06-12,1,1,1,USD,0.03,"7-day click",,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",18-24,female,2024-06-12,4,9,2.25,USD,0.08973311,"7-day click",,,,9,9.97034596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",18-24,male,2024-06-12,2,2,1,USD,0.20937727,"7-day click",,,,2,104.68863262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",25-34,female,2024-06-12,18,34,1.88888889,USD,0.7378056,"7-day click",,,,34,21.70016474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",25-34,male,2024-06-12,9,12,1.33333333,USD,0.22931796,"7-day click",,,,12,19.10982976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",35-44,female,2024-06-12,54,124,2.2962963,USD,1.3659374,"7-day click",1,1.3659374,0.80645161,126,11.01562417,1,,,1,,,1.3659374,,1.3659374,,,,,,,,1,0.80645161,1.3659374,,,,,1,1.3659374,29.99,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",35-44,male,2024-06-12,38,82,2.15789474,USD,1.57531466,"7-day click",,,,82,19.21115442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",35-44,unknown,2024-06-12,2,3,1.5,USD,0.01994069,"7-day click",,,,3,6.64689731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",45-54,female,2024-06-12,139,241,1.73381295,USD,3.23039209,"7-day click",2,1.61519605,0.82987552,243,13.40411657,2,,,2,,,1.61519605,,1.61519605,,,,,,,,2,0.82987552,1.61519605,,,,,1,3.23039209,29.99,,,,2024-04-01,2024-06-30
"DPA - All Products - Intro Card - CP - Copy;...and 1 more ad",45-54,male,2024-06-12,97,193,1.98969072,USD,2.13365404,"7-day click",1,2.13365404,0.51813472,194,11.05520226,1,,,1,,,2.13365404,,2.13365404,,,,,,,,1,0.51813472,2.13365404,,,,,,,,,,,2024-04-01,2024-06-30
