"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2024-06-01,2024-07-11,"Video - Influencer Content - Evelyn - 3.3A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,889,1454,10.72,-,-,-,10.72,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Evelyn - 4.1A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,801,1192,,-,-,-,9.55,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Evelyn - 4.2A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,9522,14320,110.38,-,-,-,110.38,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,29,30,,-,-,-,1.51,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,274,286,,-,-,-,9.28,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,62,65,,-,-,-,1.91,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.3A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,16,16,,-,-,-,0.68,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.1A - Sunglasses INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,21,21,,-,-,-,0.41,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,35,38,,-,-,-,0.96,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,24,27,,-,-,-,1.03,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,83,92,,-,-,-,3.09,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.1A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,104,106,,-,-,-,2.49,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.2A - Homepage INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,3,5,,-,-,-,0.36,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Sunglasses INTL",active,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,25,28,,-,-,-,1.25,Ongoing
